age,cat0,cat1,cat2,cat3,region_iso
50,0,1,0,a,RU-SAK
34,0,1,0,b,RU-IN
66,0,0,0,c,RU-KR
41,0,0,0,a,RU-KGN
28,1,0,0,b,RU-ME
52,0,0,0,a,RU-SA
31,1,1,0,a,RU-KC
34,0,1,0,c,RU-VLA
21,0,0,0,c,RU-KAM
44,0,0,0,a,RU-AST
17,0,0,0,a,RU-ORE
17,0,0,0,a,RU-KIR
22,1,0,0,b,RU-SA
44,0,1,0,a,RU-BU
18,0,1,0,b,RU-KEM
41,0,0,0,c,RU-AMU
57,0,1,0,c,RU-CHU
37,0,0,1,a,RU-KYA
51,0,0,1,a,RU-BA
23,0,1,0,c,RU-UD
43,0,0,0,b,RU-KHA
40,1,1,0,a,RU-BA
49,0,1,0,c,RU-ME
32,0,0,0,b,RU-MOW
50,0,0,0,a,RU-SAK
17,0,1,0,a,RU-ARK
43,0,1,0,a,RU-VLA
32,0,0,0,c,RU-TY
42,0,0,0,a,RU-KDA
50,1,1,0,a,RU-VLA
39,0,0,0,b,RU-SE
40,0,0,1,a,RU-TVE
43,0,0,0,c,RU-SMO
24,0,1,0,b,RU-BRY
58,0,1,1,a,RU-RYA
43,0,0,0,a,RU-CHU
27,0,0,0,a,RU-KOS
27,0,0,0,c,RU-PRI
32,0,0,0,a,RU-STA
45,0,1,0,a,RU-SAR
20,1,1,0,a,RU-PER
39,1,0,0,c,RU-VLG
32,0,0,0,c,RU-MOS
47,0,0,0,a,RU-TUL
20,0,0,0,a,RU-SAK
22,0,0,0,a,RU-LIP
22,1,1,0,a,RU-SMO
19,1,0,0,a,RU-SAR
45,1,0,0,a,RU-ARK
22,0,0,0,a,RU-VGG
44,1,1,0,a,RU-TVE
68,1,0,0,a,RU-YAN
42,0,0,1,a,RU-KOS
37,0,0,0,c,RU-KYA
22,0,0,0,a,RU-IRK
70,0,1,0,a,RU-ORE
45,0,1,0,a,RU-TA
45,0,0,1,b,RU-NGR
47,0,0,0,a,RU-ULY
23,0,0,1,a,RU-KOS
41,0,0,0,a,RU-VGG
29,0,0,0,c,RU-ARK
54,0,0,0,a,RU-RYA
59,0,1,0,c,RU-ROS
35,1,1,0,b,RU-CE
18,0,1,0,a,RU-KEM
29,0,0,0,b,RU-AD
60,0,0,0,a,RU-ORE
23,1,0,0,a,RU-NVS
22,0,0,1,a,RU-ZAB
63,0,1,0,a,RU-NIZ
31,1,0,0,a,RU-MAG
45,0,0,0,a,RU-LIP
56,0,0,0,a,RU-UD
48,1,0,0,a,RU-ROS
37,0,0,0,a,RU-KGD
54,0,0,0,c,RU-AD
40,1,0,0,b,RU-NGR
47,0,0,0,c,RU-VLG
19,0,1,0,a,RU-KOS
21,0,1,0,a,RU-YEV
55,0,0,1,a,RU-KOS
43,0,1,0,b,RU-VGG
57,0,0,0,a,RU-KOS
40,0,0,0,a,RU-TA
18,0,0,1,b,RU-AL
19,0,0,0,b,RU-TAM
59,0,0,0,a,RU-IVA
20,0,0,0,a,RU-KC
54,0,0,0,a,RU-ZAB
69,1,0,0,a,RU-NVS
23,0,0,0,b,RU-AST
38,1,1,0,c,RU-UD
27,0,0,0,a,RU-IRK
51,1,0,0,c,RU-CE
29,0,0,0,a,RU-KGN
22,0,1,0,a,RU-PNZ
31,1,0,0,c,RU-NIZ
39,0,1,0,b,RU-STA
59,0,1,0,a,RU-KDA
55,0,0,0,a,RU-PER
19,1,0,0,a,RU-BEL
50,0,0,0,a,RU-CHU
40,0,0,0,b,RU-KDA
55,0,0,0,a,RU-SPE
58,0,0,0,a,RU-AMU
28,0,0,0,c,RU-SAM
17,0,0,0,b,RU-BA
18,0,0,0,b,RU-ME
48,0,0,0,a,RU-YAR
59,0,1,0,b,RU-SMO
26,0,0,0,c,RU-ZAB
52,0,0,0,a,RU-MAG
61,0,0,0,a,RU-BA
70,0,0,1,a,RU-BRY
50,0,0,0,c,RU-STA
37,0,0,0,a,RU-BU
22,0,1,0,a,RU-KL
34,0,0,0,a,RU-SPE
48,0,0,0,b,RU-KGN
19,0,0,0,b,RU-AST
57,0,0,0,a,RU-VLA
56,1,1,0,a,RU-ULY
65,0,0,0,b,RU-ME
31,0,0,0,c,RU-YAR
32,0,0,1,a,RU-RYA
65,0,0,0,a,RU-CU
23,0,0,0,a,RU-NEN
23,1,0,1,a,RU-NGR
22,0,0,0,c,RU-MOS
20,1,0,0,a,RU-RYA
20,0,0,0,a,RU-TAM
17,0,0,0,c,RU-KIR
34,0,1,0,a,RU-NIZ
